"","PC.name","State.name","Candidate.Name","Candidate.Sex","Candidate.Category","Candidate.Age","Party.Abbreviation","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex Ratio (per 1000)","Average Literacy","INCUMBENT_PARTY"
"617","Thanjavur","Tamil Nadu","KARTHIKEYAN.K","M","GEN",38,"IND",721,13,807786,1054118,13,76.63145872,2405890,2075870,190814,"1035","82.64%","DMK"
"618","Theni","Tamil Nadu","AARON RASHID.J.M","M","GEN",58,"INC",340575,1,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"619","Theni","Tamil Nadu","THANGA TAMILSELVAN","M","GEN",47,"ADMK",334273,2,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"620","Theni","Tamil Nadu","SANTHANAM.M.G.","M","GEN",54,"DMDK",70908,3,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"621","Theni","Tamil Nadu","KAVITHA","F","GEN",25,"BSP",8023,4,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"622","Theni","Tamil Nadu","PARVATHI.A","F","GEN",39,"BJP",7640,5,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"623","Theni","Tamil Nadu","PANDI","M","GEN",44,"IND",6829,6,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"624","Theni","Tamil Nadu","MURUGESAN.S.P","M","GEN",45,"IND",6394,7,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"625","Theni","Tamil Nadu","MANI.S","M","GEN",41,"IND",5127,8,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"626","Theni","Tamil Nadu","POMMURAJ.M","M","GEN",49,"IND",3345,9,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"627","Theni","Tamil Nadu","RAJAVEL","M","SC",43,"IND",2808,10,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"628","Theni","Tamil Nadu","PANDIAN.P","M","GEN",45,"IND",2714,11,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"629","Theni","Tamil Nadu","SELVARAJAN.P","M","SC",38,"PT",2248,12,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"630","Theni","Tamil Nadu","NAGAMANI SENTHIL.R","M","GEN",30,"IND",1969,13,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"631","Theni","Tamil Nadu","JAMES.G","M","SC",75,"IND",1358,14,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"632","Theni","Tamil Nadu","TAMIL SELVAN.S","M","SC",40,"IND",926,15,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"633","Theni","Tamil Nadu","PERUMALSAMY.S","M","GEN",64,"IND",917,16,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"634","Theni","Tamil Nadu","RENGANATHAN","M","GEN",35,"IND",893,17,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"635","Theni","Tamil Nadu","NACHIMUTHU.P","M","GEN",54,"IND",858,18,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"636","Theni","Tamil Nadu","VETRICHELVAN","M","SC",33,"IND",824,19,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"637","Theni","Tamil Nadu","THIRUMOORTHY","M","SC",35,"IND",674,20,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"638","Theni","Tamil Nadu","KRISHNAVENI.N","F","SC",40,"IND",644,21,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
"639","Theni","Tamil Nadu","SELVARAJ","M","GEN",42,"IND",582,22,800649,1074931,22,74.48375756,1245899,1148990,56751,"991","77.26%",NA
