,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex.Ratio..per.1000.,Average.Literacy,Incumbency,Education,Total.Assets,Women,Winner,Criminal.Case,SeriousCrime
46,Allahabad,Uttar Pradesh,BAIJAL KUMAR,M,SC,48,BSP(K),1221,17,550217,1267492,31,43.40989923,5954391,5102041,796756,901,72.32,0,Not Given,50000,0,0,0,0
49,Allahabad,Uttar Pradesh,RAMA KANT,M,SC,47,IJP,991,24,550217,1267492,31,43.40989923,5954391,5102041,796756,901,72.32,0,Post Graduate,3645000,0,0,0,0
50,Ambedkar Nagar,Uttar Pradesh,RAKESH PANDEY,M,GEN,55,BSP,259487,1,811692,1494838,22,54.29966324,2397888,1985654,401678,978,72.23,0,8th Pass,164078904,0,1,3,1
51,Ambedkar Nagar,Uttar Pradesh,SHANKHLAL MAJHI,M,GEN,54,SP,236751,2,811692,1494838,22,54.29966324,2397888,1985654,401678,978,72.23,0,Graduate,21718512,0,0,3,0
52,Ambedkar Nagar,Uttar Pradesh,VINAY KATIYAR,M,GEN,49,BJP,226067,3,811692,1494838,22,54.29966324,2397888,1985654,401678,978,72.23,0,Graduate,20715092,0,0,2,1
53,Ambedkar Nagar,Uttar Pradesh,DINESH KUMAR RAJBHAR,M,GEN,33,SBSP,22075,4,811692,1494838,22,54.29966324,2397888,1985654,401678,978,72.23,0,Post Graduate,237858,0,0,0,0
54,Ambedkar Nagar,Uttar Pradesh,LALMAN,M,GEN,34,JPS,4898,9,811692,1494838,22,54.29966324,2397888,1985654,401678,978,72.23,0,10th Pass,5000,0,0,0,0
55,Ambedkar Nagar,Uttar Pradesh,BAL MUKUND DHURIYA,M,GEN,31,CPI(ML)(L),2909,13,811692,1494838,22,54.29966324,2397888,1985654,401678,978,72.23,0,Graduate,12000,0,0,2,1
56,Ambedkar Nagar,Uttar Pradesh,BASANT LAL,M,GEN,53,PECP,2844,15,811692,1494838,22,54.29966324,2397888,1985654,401678,978,72.23,0,Illiterate,6000,0,0,0,0
57,Ambedkar Nagar,Uttar Pradesh,SANTOSH KUMAR,M,GEN,50,ABHM,2643,17,811692,1494838,22,54.29966324,2397888,1985654,401678,978,72.23,0,10th Pass,1717000,0,0,0,0
58,Ambedkar Nagar,Uttar Pradesh,VIJAY KUMAR MAURYA,M,GEN,38,RASD,1900,18,811692,1494838,22,54.29966324,2397888,1985654,401678,978,72.23,0,10th Pass,470300,0,0,0,0
59,Ambedkar Nagar,Uttar Pradesh,MANSHARAM,M,GEN,40,MADP,1652,20,811692,1494838,22,54.29966324,2397888,1985654,401678,978,72.23,0,8th Pass,1981500,0,0,0,0
