,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex.Ratio..per.1000.,Average.Literacy,Incumbency,Education,Total.Assets,Women,Winner,Criminal.Case,SeriousCrime
958,RATLAM,Madhya Pradesh,KALUSINGH BHABHR,M,ST,27,SHS,5659,8,637481,1251597,10,50.93340748,1455069,1267043,151071,971,66.78,0,5th Pass,1906500,0,0,0,0
959,RATLAM,Madhya Pradesh,JALAM SINGH PATEL,M,ST,40,RDMP,4174,9,637481,1251597,10,50.93340748,1455069,1267043,151071,971,66.78,0,Graduate,154000,0,0,0,0
960,RATLAM,Madhya Pradesh,UDAY SINGH MACHAR,M,ST,38,RPI(A),3175,10,637481,1251597,10,50.93340748,1455069,1267043,151071,971,66.78,0,Literate,1100120,0,0,0,0
961,REWA,Madhya Pradesh,DEORAJ SINGH PATEL,M,GEN,36,BSP,172002,1,603648,1248727,15,48.34107055,2365106,2268838,85414,931,71.62,0,Post Graduate,30845000,0,1,0,0
962,REWA,Madhya Pradesh,SUNDER LAL TIWARI,M,GEN,51,INC,167981,2,603648,1248727,15,48.34107055,2365106,2268838,85414,931,71.62,0,Graduate Professional,3973765,0,0,0,0
963,REWA,Madhya Pradesh,CHANDRA MANI TRIPATHI,M,GEN,62,BJP,116300,3,603648,1248727,15,48.34107055,2365106,2268838,85414,931,71.62,1,Post Graduate,3464605,0,0,0,0
964,REWA,Madhya Pradesh,PUSHPRAJ SINGH,M,GEN,48,SP,109684,4,603648,1248727,15,48.34107055,2365106,2268838,85414,931,71.62,0,Post Graduate,286631238,0,0,0,0
965,REWA,Madhya Pradesh,BADRI PRASAD KUSHWAHA,M,GEN,47,AD,4756,6,603648,1248727,15,48.34107055,2365106,2268838,85414,931,71.62,0,12th Pass,380000,0,0,0,0
966,REWA,Madhya Pradesh,VIMALA SONDHIA,F,GEN,53,LJP,4019,8,603648,1248727,15,48.34107055,2365106,2268838,85414,931,71.62,0,Illiterate,1790000,1,0,0,0
967,REWA,Madhya Pradesh,SALMA,F,GEN,33,AIFB,2975,11,603648,1248727,15,48.34107055,2365106,2268838,85414,931,71.62,0,12th Pass,20000,1,0,0,0
969,REWA,Madhya Pradesh,RAMKISHAN NIRAT (SAKET),M,SC,32,RPI(A),1428,15,603648,1248727,15,48.34107055,2365106,2268838,85414,931,71.62,0,Post Graduate,217000,0,0,0,0
971,SAGAR,Madhya Pradesh,ASLAM SHER KHAN,M,GEN,55,INC,192786,2,570331,1185166,12,48.12245711,2378458,2198297,103480,893,76.46,0,Graduate,15361172,0,0,0,0
972,SAGAR,Madhya Pradesh,GOURI SINGH YADAV,M,GEN,59,SP,12716,3,570331,1185166,12,48.12245711,2378458,2198297,103480,893,76.46,0,8th Pass,13104000,0,0,0,0
973,SAGAR,Madhya Pradesh,AHIRWAR NARESH BOUDHA,M,SC,37,BSP,12703,4,570331,1185166,12,48.12245711,2378458,2198297,103480,893,76.46,0,Post Graduate,1205000,0,0,5,1
974,SAGAR,Madhya Pradesh,ARVIND  DANGI,M,GEN,34,PRSP,6374,6,570331,1185166,12,48.12245711,2378458,2198297,103480,893,76.46,0,Literate,0,0,0,0,0
975,SAGAR,Madhya Pradesh,SANJAY BHAI ADVOCATE RAVIDASI,M,SC,31,GMS,2190,8,570331,1185166,12,48.12245711,2378458,2198297,103480,893,76.46,0,Post Graduate,76000,0,0,0,0
976,SAGAR,Madhya Pradesh,DHAN SINGH AHIRWAR,M,SC,33,LJP,1526,10,570331,1185166,12,48.12245711,2378458,2198297,103480,893,76.46,0,Post Graduate,60000,0,0,0,0
977,SAGAR,Madhya Pradesh,SIDHARTH BOUDHA  AHIRWAR,M,SC,35,RPI(A),1490,11,570331,1185166,12,48.12245711,2378458,2198297,103480,893,76.46,0,8th Pass,0,0,0,0,0
978,SAGAR,Madhya Pradesh,VINOD DIWAR GOUND,M,ST,27,GGP,1014,12,570331,1185166,12,48.12245711,2378458,2198297,103480,893,76.46,0,12th Pass,155000,0,0,0,0
979,SATNA,Madhya Pradesh,GANESH SINGH,M,GEN,46,BJP,194624,1,659614,1207500,21,54.62641822,2228935,2158623,59471,926,72.26,1,Post Graduate,7372032,0,1,3,1
980,SATNA,Madhya Pradesh,SUKHLAL KUSHWAHA,M,GEN,46,BSP,190206,2,659614,1207500,21,54.62641822,2228935,2158623,59471,926,72.26,0,Graduate,4495000,0,0,0,0
981,SATNA,Madhya Pradesh,PT. RAJARAM TRIPATHI,M,GEN,56,SP,130339,3,659614,1207500,21,54.62641822,2228935,2158623,59471,926,72.26,0,12th Pass,60923884,0,0,0,0
982,SATNA,Madhya Pradesh,SUDHIR SINGH TOMAR,M,GEN,41,INC,90806,4,659614,1207500,21,54.62641822,2228935,2158623,59471,926,72.26,0,Post Graduate,4078120,0,0,1,1
983,SATNA,Madhya Pradesh,CHHOTELAL SINGH GOND,M,ST,65,GMS,3892,9,659614,1207500,21,54.62641822,2228935,2158623,59471,926,72.26,0,12th Pass,1316000,0,0,0,0
985,SATNA,Madhya Pradesh,SHOBHNATH SEN,M,GEN,29,LJP,2369,16,659614,1207500,21,54.62641822,2228935,2158623,59471,926,72.26,0,12th Pass,186000,0,0,0,0
986,SATNA,Madhya Pradesh,SUNDERLAL CHAUDHARI,M,SC,64,IJP,1789,17,659614,1207500,21,54.62641822,2228935,2158623,59471,926,72.26,0,Literate,210944,0,0,0,0
987,SATNA,Madhya Pradesh,RAJESH SINGH BAGHEL,M,GEN,41,GGP,1780,18,659614,1207500,21,54.62641822,2228935,2158623,59471,926,72.26,0,8th Pass,1200,0,0,0,0
989,SATNA,Madhya Pradesh,GIRJA SINGH PATEL,M,GEN,49,AD,1560,20,659614,1207500,21,54.62641822,2228935,2158623,59471,926,72.26,0,Post Graduate,1050000,0,0,0,0
990,SATNA,Madhya Pradesh,PRAMILA,F,SC,43,RPI(A),1261,21,659614,1207500,21,54.62641822,2228935,2158623,59471,926,72.26,0,8th Pass,642100,1,0,0,0
991,SHAHDOL,Madhya Pradesh,RAJESH NANDINI SINGH,F,ST,52,INC,263434,1,629897,1272377,8,49.50553177,1066063,997073,42426,974,66.67,0,Graduate,11475000,1,1,0,0
993,SHAHDOL,Madhya Pradesh,RAMRATAN SINGH PAVLE,M,ST,28,GGP,30967,3,629897,1272377,8,49.50553177,1066063,997073,42426,974,66.67,0,Post Graduate,23800,0,0,0,0
994,SHAHDOL,Madhya Pradesh,MANOHAR SINGH MARAVI,M,ST,46,BSP,26757,4,629897,1272377,8,49.50553177,1066063,997073,42426,974,66.67,0,Post Graduate,1692000,0,0,0,0
995,SHAHDOL,Madhya Pradesh,SADAN SINGH BHARIA,M,ST,39,CPI,24210,5,629897,1272377,8,49.50553177,1066063,997073,42426,974,66.67,0,8th Pass,468187,0,0,0,0
996,SHAHDOL,Madhya Pradesh,CHANDRA PRATAP SINGH (BABA SAHAB),M,ST,51,SP,15431,6,629897,1272377,8,49.50553177,1066063,997073,42426,974,66.67,0,12th Pass,12464922,0,0,0,0
997,SHAHDOL,Madhya Pradesh,GANPAT GOND,M,ST,38,GMS,10492,7,629897,1272377,8,49.50553177,1066063,997073,42426,974,66.67,0,10th Pass,25000,0,0,0,0
998,SHAHDOL,Madhya Pradesh,KRISHN PAL SINGH PAVEL,M,ST,29,LJP,8062,8,629897,1272377,8,49.50553177,1066063,997073,42426,974,66.67,0,12th Pass,190000,0,0,0,0
999,SIDHI,Madhya Pradesh,GOVIND PRASAD MISHRA,M,GEN,60,BJP,270914,1,675876,1358291,11,49.75929311,1127033,1077545,34419,957,64.43,1,Graduate Professional,5187425,0,1,0,0
1000,SIDHI,Madhya Pradesh,INDRAJEET KUMAR,M,GEN,61,INC,225174,2,675876,1358291,11,49.75929311,1127033,1077545,34419,957,64.43,0,Graduate,13428842,0,0,0,0
1001,SIDHI,Madhya Pradesh,ASHOK KUMAR SHAH,M,GEN,34,BSP,53760,4,675876,1358291,11,49.75929311,1127033,1077545,34419,957,64.43,0,Post Graduate,4779766,0,0,0,0
1002,SIDHI,Madhya Pradesh,VEENA SINGH NETI,F,ST,34,GGP,20598,5,675876,1358291,11,49.75929311,1127033,1077545,34419,957,64.43,0,12th Pass,1825000,1,0,0,0
1003,SIDHI,Madhya Pradesh,MANIK SINGH,M,ST,43,SP,13724,6,675876,1358291,11,49.75929311,1127033,1077545,34419,957,64.43,0,Not Given,5292603,0,0,0,0
1004,SIDHI,Madhya Pradesh,LOLAR SINGH URETI,M,ST,29,GMS,3611,11,675876,1358291,11,49.75929311,1127033,1077545,34419,957,64.43,0,8th Pass,101500,0,0,0,0
1005,TIKAMGARH,Madhya Pradesh,VIRENDRA KUMAR,M,SC,55,BJP,200109,1,525285,1209553,17,43.42802672,1445166,1383475,44143,901,61.43,0,Doctorate,2551466,0,1,0,0
1006,TIKAMGARH,Madhya Pradesh,AHIRWAR VRINDAVAN,M,SC,48,INC,158247,2,525285,1209553,17,43.42802672,1445166,1383475,44143,901,61.43,0,12th Pass,163000,0,0,0,0
1007,TIKAMGARH,Madhya Pradesh,CHINTAMAN KORI RAMPURIYA,M,SC,64,SP,80625,3,525285,1209553,17,43.42802672,1445166,1383475,44143,901,61.43,0,12th Pass,5282383,0,0,0,0
1008,TIKAMGARH,Madhya Pradesh,G.D.,M,SC,62,BSP,35993,4,525285,1209553,17,43.42802672,1445166,1383475,44143,901,61.43,0,Graduate Professional,2007070,0,0,0,0
1009,TIKAMGARH,Madhya Pradesh,AHIRWAR JAGDISH PRASAD,M,SC,28,LJP,5135,8,525285,1209553,17,43.42802672,1445166,1383475,44143,901,61.43,0,Graduate,37000,0,0,0,0
1011,TIKAMGARH,Madhya Pradesh,VISHAN LAL BASHNKAR,M,SC,43,PRSP,3106,13,525285,1209553,17,43.42802672,1445166,1383475,44143,901,61.43,0,Illiterate,230000,0,0,0,0
1012,UJJAIN,Madhya Pradesh,GUDDU PREMCHAND,M,SC,41,INC,326905,1,667598,1253686,9,53.250814,1986864,1718204,233133,955,72.34,0,5th Pass,105031313,0,1,3,1
1013,UJJAIN,Madhya Pradesh,DR. SATYANARAYAN JATIYA,M,SC,63,BJP,311064,2,667598,1253686,9,53.250814,1986864,1718204,233133,955,72.34,1,Doctorate,3188630,0,0,0,0
1014,UJJAIN,Madhya Pradesh,BABOOLAL THAWALIYA,M,SC,43,BSP,9224,3,667598,1253686,9,53.250814,1986864,1718204,233133,955,72.34,0,Graduate,50000,0,0,0,0
1015,UJJAIN,Madhya Pradesh,MADANLAL RAJORA,M,SC,44,LJP,4546,5,667598,1253686,9,53.250814,1986864,1718204,233133,955,72.34,0,Graduate,805000,0,0,0,0
1016,VIDISHA,Madhya Pradesh,SUSHMA SWARAJ,F,GEN,57,BJP,438235,1,556434,1233394,8,45.11405115,1458875,1287391,149548,896,70.53,1,Graduate Professional,73582637,1,1,0,0
1017,VIDISHA,Madhya Pradesh,CHOUDHARY MUNABBAR SALIM,M,GEN,50,SP,48391,2,556434,1233394,8,45.11405115,1458875,1287391,149548,896,70.53,0,Graduate,1165000,0,0,0,0
1018,VIDISHA,Madhya Pradesh,DR.PREMSHANKAR SHARMA,M,GEN,44,BSP,37142,3,556434,1233394,8,45.11405115,1458875,1287391,149548,896,70.53,0,Doctorate,8022098,0,0,1,1
1019,VIDISHA,Madhya Pradesh,BHAI MUNSHILAL SILAWAT,M,SC,25,RPI(A),12136,4,556434,1233394,8,45.11405115,1458875,1287391,149548,896,70.53,0,10th Pass,70000,0,0,0,0
1020,VIDISHA,Madhya Pradesh,HARBHAJAN JANGRE,M,SC,33,LJP,5054,6,556434,1233394,8,45.11405115,1458875,1287391,149548,896,70.53,0,Literate,106000,0,0,0,0
1021,VIDISHA,Madhya Pradesh,RAM GOPAL MALVIYA,M,GEN,35,RDMP,3140,8,556434,1233394,8,45.11405115,1458875,1287391,149548,896,70.53,0,Literate,130000,0,0,0,0
1029,Akola,Maharashtra,DHOTRE SANJAY SHAMRAO,M,GEN,50,BJP,287526,1,739255,1480606,11,49.92921817,1813906,1107809,357253,946,88.05,1,Graduate Professional,19335144,0,1,4,0
1031,Akola,Maharashtra,BABASAHEB DHABEKAR,M,GEN,78,INC,182776,3,739255,1480606,11,49.92921817,1813906,1107809,357253,946,88.05,0,Graduate,31548939,0,0,0,0
1032,Akola,Maharashtra,ATIK AHAMAD GU. JILANI,M,GEN,34,DESEP,4345,6,739255,1480606,11,49.92921817,1813906,1107809,357253,946,88.05,0,5th Pass,60000,0,0,0,0
1033,Akola,Maharashtra,GANESH TULSHIRAM TATHE,M,GEN,49,KKJHS,3059,7,739255,1480606,11,49.92921817,1813906,1107809,357253,946,88.05,0,10th Pass,2073000,0,0,0,0
1035,Amravati,Maharashtra,ADSUL ANANDRAO VITHOBA,M,SC,61,SHS,314286,1,732574,1423855,22,51.45004231,2888445,2055177,421410,951,87.38,1,Graduate,17708418,0,1,1,0
1036,Amravati,Maharashtra,GAWAI RAJENDRA RAMKRUSHNA,M,SC,46,RPI,252570,2,732574,1423855,22,51.45004231,2888445,2055177,421410,951,87.38,0,Graduate Professional,5038450,0,0,0,0
1037,Amravati,Maharashtra,GANGADHAR GADE,M,SC,62,BSP,41775,4,732574,1423855,22,51.45004231,2888445,2055177,421410,951,87.38,0,Not Given,0,0,0,0,0
1038,Amravati,Maharashtra,PRINCIPAL GOPICHAND SURYABHAN MESHRAM,M,SC,52,RP(K),5153,6,732574,1423855,22,51.45004231,2888445,2055177,421410,951,87.38,0,Post Graduate,2825000,0,0,0,0
1039,Amravati,Maharashtra,SAU MAMATA VINAYAK KANDALKAR,F,SC,31,AUDF,4226,7,732574,1423855,22,51.45004231,2888445,2055177,421410,951,87.38,0,Graduate,1035300,1,0,0,0
1040,Amravati,Maharashtra,DR. HEMANTKUMAR RAMBHAU MAHURE,M,SC,34,BBM,3195,11,732574,1423855,22,51.45004231,2888445,2055177,421410,951,87.38,0,Doctorate,326000,0,0,0,0
1041,Amravati,Maharashtra,KESHAV DASHARATH WANKHADE,M,SC,38,KKJHS,3004,13,732574,1423855,22,51.45004231,2888445,2055177,421410,951,87.38,0,Not Given,55000,0,0,2,1
1043,Amravati,Maharashtra,UGALE SUNIL NAMDEV,M,SC,32,PRBP,1633,17,732574,1423855,22,51.45004231,2888445,2055177,421410,951,87.38,0,5th Pass,13500,0,0,0,0
1045,Aurangabad,Maharashtra,CHANDRAKANT KHAIRE,M,GEN,57,SHS,255896,1,731148,1417964,22,51.56322728,3701282,2545438,786677,923,79.02,1,12th Pass,14151539,0,1,16,1
1046,Aurangabad,Maharashtra,UTTAMSINGH RAJDHARSINGH PAWAR,M,GEN,58,INC,222882,2,731148,1417964,22,51.56322728,3701282,2545438,786677,923,79.02,0,Post Graduate,49538249,0,0,0,0
1047,Aurangabad,Maharashtra,SAYYED SALIM SAYYED YUSUF,M,GEN,56,BSP,32641,4,731148,1417964,22,51.56322728,3701282,2545438,786677,923,79.02,0,Not Given,3484585,1,0,0,0
1048,Aurangabad,Maharashtra,JYOTI RAMCHANDRA UPADHAYAY,F,GEN,35,BBM,7261,6,731148,1417964,22,51.56322728,3701282,2545438,786677,923,79.02,0,Post Graduate,7268679,1,0,0,0
1049,Aurangabad,Maharashtra,PANDURANG WAMANRAO NARWADE,M,SC,39,PRCP,7060,7,731148,1417964,22,51.56322728,3701282,2545438,786677,923,79.02,0,Post Graduate,269200,0,0,0,0
1051,Aurangabad,Maharashtra,MANIK RAMU SHINDE,M,GEN,34,KM,2728,13,731148,1417964,22,51.56322728,3701282,2545438,786677,923,79.02,0,Graduate,1850000,0,0,0,0
1052,Aurangabad,Maharashtra,JAHAGIRDAR MOHMAD AYUB GULAM,M,GEN,55,SP,2305,15,731148,1417964,22,51.56322728,3701282,2545438,786677,923,79.02,0,10th Pass,4025000,0,0,0,0
1053,Aurangabad,Maharashtra,SHAIKH HARUN MALIK SAHEB,M,GEN,50,RSPS,1263,20,731148,1417964,22,51.56322728,3701282,2545438,786677,923,79.02,0,12th Pass,3330000,0,0,0,0
1054,Baramati,Maharashtra,SUPRIYA SULE,F,GEN,39,NCP,487827,1,735381,1593460,17,46.14995042,9429408,8090254,673704,915,86.15,1,Graduate,515363663,1,1,0,0
1055,Baramati,Maharashtra,KANTA JAYSING NALAWADE,F,GEN,56,BJP,150996,2,735381,1593460,17,46.14995042,9429408,8090254,673704,915,86.15,0,Post Graduate,5352400,1,0,0,0
1056,Baramati,Maharashtra,KUDALEPATIL VIVEK ANANT,M,GEN,40,BSP,29864,3,735381,1593460,17,46.14995042,9429408,8090254,673704,915,86.15,0,10th Pass,187510000,0,0,0,0
1058,Baramati,Maharashtra,MAYAWATI AMAR CHITRE,F,SC,31,BMSM,5002,7,735381,1593460,17,46.14995042,9429408,8090254,673704,915,86.15,0,8th Pass,15000,1,0,0,0
1059,Baramati,Maharashtra,SHELAR SANGEETA PANDURANG,F,GEN,33,KM,2666,13,735381,1593460,17,46.14995042,9429408,8090254,673704,915,86.15,0,12th Pass,1465000,1,0,0,0
1060,Baramati,Maharashtra,SACHIN VITTHAL AHIRE,M,SC,29,PRCP,1960,16,735381,1593460,17,46.14995042,9429408,8090254,673704,915,86.15,0,10th Pass,0,0,0,0,0
1061,Beed,Maharashtra,MUNDE GOPINATHRAO PANDURANG,M,GEN,59,BJP,553994,1,1073989,1637239,21,65.59757006,2585049,2174672,320395,916,76.99,0,Graduate Professional,62250603,0,1,4,1
1062,Beed,Maharashtra,KOKATE RAMESH BABURAO (ADASKAR),M,GEN,42,NCP,413042,2,1073989,1637239,21,65.59757006,2585049,2174672,320395,916,76.99,1,Graduate,17975926,0,0,1,1
1063,Beed,Maharashtra,MASKE MACHINDRA BABURAO,M,GEN,54,BSP,25284,3,1073989,1637239,21,65.59757006,2585049,2174672,320395,916,76.99,0,Graduate,2103500,0,0,0,0
1064,Beed,Maharashtra,KHALGE KACHARU SANTARAMJI,M,SC,48,BBM,11006,4,1073989,1637239,21,65.59757006,2585049,2174672,320395,916,76.99,0,10th Pass,1005000,0,0,3,1
1065,Beed,Maharashtra,DR. SHIVAJIRAO KISANRAO SHENDGE,M,GEN,39,RSPS,5274,11,1073989,1637239,21,65.59757006,2585049,2174672,320395,916,76.99,0,Graduate,760000,0,0,0,0
1066,Beed,Maharashtra,PRAMOD ALIAS PARMESHWAR SAKHARAM MOTE,M,GEN,32,KM,3088,12,1073989,1637239,21,65.59757006,2585049,2174672,320395,916,76.99,0,12th Pass,156000,0,0,4,1
1067,Beed,Maharashtra,GURAV KALYAN BHANUDAS,M,GEN,62,RKSP,1981,16,1073989,1637239,21,65.59757006,2585049,2174672,320395,916,76.99,0,10th Pass,0,0,0,1,0
1068,Beed,Maharashtra,BABURAO NARAYANRAO KAGADE,M,SC,63,ANC,1477,18,1073989,1637239,21,65.59757006,2585049,2174672,320395,916,76.99,0,Literate,50000,0,0,0,0
1069,Beed,Maharashtra,NIKALJE SHEELATAI MAHENDRA,F,SC,34,PRCP,1291,20,1073989,1637239,21,65.59757006,2585049,2174672,320395,916,76.99,0,Graduate,1007000,1,0,0,0
1080,Bhiwandi,Maharashtra,TAWARE SURESH KASHINATH,M,GEN,51,INC,182789,1,584379,1483176,16,39.40051619,11060148,8716055,1355630,886,84.53,0,Graduate,109039952,0,1,0,0
1081,Bhiwandi,Maharashtra,PATIL JAGANNATH SHIVRAM,M,GEN,64,BJP,141425,2,584379,1483176,16,39.40051619,11060148,8716055,1355630,886,84.53,0,10th Pass,30325979,0,0,10,0
1082,Bhiwandi,Maharashtra,DEVRAJ KISAN MHATRE,M,GEN,49,MNS,107090,3,584379,1483176,16,39.40051619,11060148,8716055,1355630,886,84.53,0,Graduate,11154651,0,0,2,0
1083,Bhiwandi,Maharashtra,R.R. PATIL,M,GEN,67,SP,32767,5,584379,1483176,16,39.40051619,11060148,8716055,1355630,886,84.53,0,10th Pass,167567529,0,0,1,1
1084,Bhiwandi,Maharashtra,V.G.PATIL,M,GEN,60,BSP,12902,6,584379,1483176,16,39.40051619,11060148,8716055,1355630,886,84.53,0,10th Pass,8452100,0,0,1,1
1085,Bhiwandi,Maharashtra,AJIM GANI SHEKH,M,GEN,36,RKSP,4304,8,584379,1483176,16,39.40051619,11060148,8716055,1355630,886,84.53,0,8th Pass,210000,0,0,0,0
1086,Bhiwandi,Maharashtra,SHAIKH MEHBOOB BASHA VALI,M,GEN,42,BBM,3041,10,584379,1483176,16,39.40051619,11060148,8716055,1355630,886,84.53,0,Literate,180000,0,0,0,0
1087,Bhiwandi,Maharashtra,ISMAIL SHAIKH LATIF,M,GEN,32,KKJHS,1844,12,584379,1483176,16,39.40051619,11060148,8716055,1355630,886,84.53,0,10th Pass,78850,0,0,0,0
1088,Bhiwandi,Maharashtra,SHASHIKANT MOTIRAM KATHORE,M,GEN,30,RSPS,1627,13,584379,1483176,16,39.40051619,11060148,8716055,1355630,886,84.53,0,8th Pass,2509000,0,0,0,0
1089,Bhiwandi,Maharashtra,MURTUZA MUZAFFAR SHAIKH,M,GEN,53,NBNP,989,16,584379,1483176,16,39.40051619,11060148,8716055,1355630,886,84.53,0,12th Pass,1580000,0,0,1,0
1090,Buldhana,Maharashtra,JADHAV PRATAPRAO GANPATRAO,M,GEN,49,SHS,353671,1,853668,1382736,15,61.7375985,2586258,1845424,354236,934,83.4,1,Graduate,12052820,0,1,10,0
1091,Buldhana,Maharashtra,SHINGANE DR.RAJENDRA BHASKARRAO,M,GEN,48,NCP,325593,2,853668,1382736,15,61.7375985,2586258,1845424,354236,934,83.4,0,Graduate Professional,13504390,0,0,0,0
1092,Buldhana,Maharashtra,DANDGE VASANTRAO SUGDEO,M,GEN,55,BSP,81763,3,853668,1382736,15,61.7375985,2586258,1845424,354236,934,83.4,0,Graduate,42160000,0,0,0,0
1093,Buldhana,Maharashtra,DHOKNE RAVINDRA TULSHIRAMJI,M,GEN,44,BBM,31034,4,853668,1382736,15,61.7375985,2586258,1845424,354236,934,83.4,0,Post Graduate,4520000,0,0,3,1
1094,Buldhana,Maharashtra,AMARDEEP BALASAHEB DESHMUKH (INGLE),M,GEN,27,KM,6635,7,853668,1382736,15,61.7375985,2586258,1845424,354236,934,83.4,0,10th Pass,227000,0,0,4,0
1095,Buldhana,Maharashtra,QURASHI SK.SIKANDAR SK. SHAUKAT,M,GEN,33,DESEP,2006,12,853668,1382736,15,61.7375985,2586258,1845424,354236,934,83.4,0,10th Pass,360000,0,0,0,0
1097,Buldhana,Maharashtra,FERAN CHANDRAHAS JAGDEO,M,GEN,54,ABHM,1213,15,853668,1382736,15,61.7375985,2586258,1845424,354236,934,83.4,0,10th Pass,800000,0,0,0,0
1098,Chandrapur,Maharashtra,AHIR HANSARAJ GANGARAM,M,GEN,54,BJP,301467,1,899430,1536352,23,58.54322447,2204307,1780085,92297,961,80.01,1,10th Pass,8084050,0,1,30,1
1099,Chandrapur,Maharashtra,PUGALIA NARESH,M,GEN,60,INC,268972,2,899430,1536352,23,58.54322447,2204307,1780085,92297,961,80.01,0,12th Pass,30865755,0,0,4,0
1100,Chandrapur,Maharashtra,CHATAP WAMAN SADASHIVRAO,M,GEN,58,STBP,169112,3,899430,1536352,23,58.54322447,2204307,1780085,92297,961,80.01,0,Graduate Professional,2711300,0,0,1,0
1101,Chandrapur,Maharashtra,ADV. HAZARE DATTABHAU KRUSHNARAO,M,GEN,52,BSP,57519,4,899430,1536352,23,58.54322447,2204307,1780085,92297,961,80.01,0,Graduate Professional,6219000,0,0,0,0
1102,Chandrapur,Maharashtra,KHOBRAGADE DESHAK GIRISHBABU,M,SC,38,BBM,20541,5,899430,1536352,23,58.54322447,2204307,1780085,92297,961,80.01,0,Graduate,5976000,0,0,1,1
1103,Chandrapur,Maharashtra,JAWED ABDUL KURESHI ALIAS PROF. JAWED PASHA,M,GEN,47,JMM,9262,7,899430,1536352,23,58.54322447,2204307,1780085,92297,961,80.01,0,Post Graduate,658000,0,0,0,0
1104,Chandrapur,Maharashtra,MASRAM NIRANJAN SHIVRAM,M,ST,42,GGP,9065,8,899430,1536352,23,58.54322447,2204307,1780085,92297,961,80.01,0,10th Pass,50000,0,0,0,0
1105,Chandrapur,Maharashtra,KHARTAD LOMESH MAROTI,M,SC,55,RWS,2520,17,899430,1536352,23,58.54322447,2204307,1780085,92297,961,80.01,0,Not Given,0,0,0,0,0
1106,Chandrapur,Maharashtra,PATHAN A. RAZZAK KHAN HAYAT KHAN,M,GEN,44,SP,2477,18,899430,1536352,23,58.54322447,2204307,1780085,92297,961,80.01,0,10th Pass,583695,0,0,0,0
1109,Dhule,Maharashtra,SONAWANE PRATAP NARAYANRAO,M,GEN,60,BJP,263260,1,670196,1575225,15,42.54604898,2050862,1825460,187901,946,72.8,0,Graduate Professional,142157029,0,1,0,0
1110,Dhule,Maharashtra,AMARISHBHAI RASIKLAL PATEL,M,GEN,56,INC,243841,2,670196,1575225,15,42.54604898,2050862,1825460,187901,946,72.8,1,8th Pass,100033610,0,0,0,0
1111,Dhule,Maharashtra,NIHAL AHMED MOLVI. MOHAMMED USMAN,M,GEN,81,JD(S),72738,3,670196,1575225,15,42.54604898,2050862,1825460,187901,946,72.8,0,10th Pass,44093626,0,0,30,1
1112,Dhule,Maharashtra,ANIL ANNA GOTE,M,GEN,61,LKSGM,53637,4,670196,1575225,15,42.54604898,2050862,1825460,187901,946,72.8,0,Others,2528801,0,0,9,1
1113,Dhule,Maharashtra,RIZWAN MO.AKBAR,M,GEN,34,BSP,11606,5,670196,1575225,15,42.54604898,2050862,1825460,187901,946,72.8,0,Literate,1290000,0,0,0,0
1114,Dhule,Maharashtra,KAVAYATRI-SONKANYA SAU. THAKUR RAJANI BHAGWAN,F,GEN,49,BBM,1721,10,670196,1575225,15,42.54604898,2050862,1825460,187901,946,72.8,0,Doctorate,2730000,1,0,0,0
1115,Dhule,Maharashtra,ANSARI MOHD. ISMAIL MOHD. IBRAHIM,M,GEN,37,BMSM,1343,13,670196,1575225,15,42.54604898,2050862,1825460,187901,946,72.8,0,Graduate,1162950,0,0,0,0
1116,Dhule,Maharashtra,ARIF AHMED SHAIKH JAFHAR,M,GEN,99,NBNP,955,15,670196,1575225,15,42.54604898,2050862,1825460,187901,946,72.8,0,8th Pass,80000,0,0,0,0
1117,Dindori,Maharashtra,CHAVAN HARISHCHANDRA DEORAM,M,ST,57,BJP,281254,1,681630,1432938,9,47.56870151,6107187,5237009,693052,934,82.31,0,Graduate,8515581,0,1,1,0
1118,Dindori,Maharashtra,ZIRWAL NARHARI SITARAM,M,ST,50,NCP,243907,2,681630,1432938,9,47.56870151,6107187,5237009,693052,934,82.31,0,12th Pass,4160711,0,0,0,0
1119,Dindori,Maharashtra,GAVIT JEEVA PANDU,M,ST,60,CPM,105352,3,681630,1432938,9,47.56870151,6107187,5237009,693052,934,82.31,0,Graduate,4679319,0,0,6,1
1120,Dindori,Maharashtra,GANGURDE DIPAK SHANKAR,M,ST,36,BSP,17902,4,681630,1432938,9,47.56870151,6107187,5237009,693052,934,82.31,0,Graduate,2426998,0,0,0,0
1121,Dindori,Maharashtra,PAWAR SAMPAT WAMAN,M,ST,30,BBM,6717,7,681630,1432938,9,47.56870151,6107187,5237009,693052,934,82.31,0,Graduate,15000,0,0,0,0
1122,Gadchiroli-Chimur,Maharashtra,KOWASE MAROTRAO SAINUJI,M,ST,59,INC,321756,1,837880,1285387,11,65.18503766,1072942,927411,21063,982,74.36,0,Graduate,10776756,0,1,0,0
