"","PC.name","State.name","Candidate.Name","Candidate.Sex","Candidate.Category","Candidate.Age","Party.Abbreviation","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex Ratio (per 1000)","Average Literacy","INCUMBENT_PARTY"
"773","Kaiserganj","Uttar Pradesh","VINESH KUMAR","M","GEN",32,"IND",1370,21,565659,1376267,23,41.10096369,3487731,2291892,1169330,"892","49.36%","SP"
"774","Kaiserganj","Uttar Pradesh","ANOKHI LAL","M","SC",49,"IND",1287,22,565659,1376267,23,41.10096369,3487731,2291892,1169330,"892","49.36%","SP"
"775","Kaiserganj","Uttar Pradesh","RAMPHER ALIAS CHUNTI","M","SC",59,"IND",1044,23,565659,1376267,23,41.10096369,3487731,2291892,1169330,"892","49.36%","SP"
"776","Kannauj","Uttar Pradesh","AKHILESH YADAV","M","GEN",35,"SP",337751,1,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"777","Kannauj","Uttar Pradesh","DR. MAHESH CHANDRA VERMA","M","GEN",53,"BSP",221887,2,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"778","Kannauj","Uttar Pradesh","SUBRAT PATHAK","M","GEN",29,"BJP",150872,3,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"779","Kannauj","Uttar Pradesh","BALRAM","M","GEN",29,"BSP(K)",6650,4,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"780","Kannauj","Uttar Pradesh","SHRIKRISHNA SHAKYA","M","GEN",56,"IND",5310,5,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"781","Kannauj","Uttar Pradesh","SANJEEV","M","GEN",25,"IND",3323,6,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"782","Kannauj","Uttar Pradesh","SHAHANSHAH KHAN","M","GEN",37,"IND",2911,7,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"783","Kannauj","Uttar Pradesh","RAM KARAN KASHYAP","M","GEN",37,"VAJP",2706,8,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"784","Kannauj","Uttar Pradesh","AJAB SINGH YADAV","M","GEN",30,"ABAS",2207,9,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"785","Kannauj","Uttar Pradesh","VIJAY SINGH CHAUHAN","M","GEN",53,"MD",2149,10,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
