,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex Ratio (per 1000),Average Literacy,INCUMBENT_PARTY,Incumbency
81,CHHINDWARA,Madhya Pradesh,AZAD CHANDRASHEKHER PANDOLE SAMAJ SEVAK,M,SC,42,IND,4253,11,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
82,CHHINDWARA,Madhya Pradesh,DHANPAL BHALAVI,M,ST,35,IND,3921,12,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
83,CHHINDWARA,Madhya Pradesh,SUKMAN INVATI,M,ST,42,IND,3116,13,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
84,CHHINDWARA,Madhya Pradesh,SATAP SHA UIKEY,M,ST,35,GGP,3082,14,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
85,CHHINDWARA,Madhya Pradesh,SHOAIB KHAN,M,GEN,44,IND,2777,15,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
86,CHHINDWARA,Madhya Pradesh,GANARAM UIKEY,M,ST,53,IND,2705,16,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
87,CHHINDWARA,Madhya Pradesh,PRAVINDRA NAURATI,M,ST,37,IND,1967,17,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
88,CHHINDWARA,Madhya Pradesh,ASHARAM DEHARIYA,M,SC,33,IND,1910,18,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
89,CHHINDWARA,Madhya Pradesh,R.K. MARKAM,M,ST,28,IND,1634,19,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
90,CHHINDWARA,Madhya Pradesh,JOGILAL IRPACHI,M,ST,48,JMM,1509,20,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
91,CHHINDWARA,Madhya Pradesh,AMRITLAL PATHAK RAGHUVAR,M,GEN,70,IND,1460,21,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
92,CHHINDWARA,Madhya Pradesh,PARDHESHI HARTAPSAH TIRKAM,M,ST,40,GMS,1378,22,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
93,CHHINDWARA,Madhya Pradesh,RAMKISHAN PAL,M,GEN,62,RPI(A),1326,23,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
94,CHHINDWARA,Madhya Pradesh,NIKHILESH DHURVEY,M,ST,30,IND,1243,24,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
95,CHHINDWARA,Madhya Pradesh,DHANRAJ JAMBHATKAR,M,SC,37,IND,1184,25,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
96,CHHINDWARA,Madhya Pradesh,PITRAM UIKEY,M,ST,48,IND,995,26,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
97,CHHINDWARA,Madhya Pradesh,NARESH KUMAR YUVNATI,M,ST,33,IND,905,27,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
98,CHHINDWARA,Madhya Pradesh,BALVEER SINGH YADAV,M,GEN,30,RKSP,874,28,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
99,DAMOH,Madhya Pradesh,SHIVRAJ BHAIYA,M,GEN,68,BJP,302673,1,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,1
100,DAMOH,Madhya Pradesh,CHANDRABHAN BHAIYA,M,GEN,51,INC,231796,2,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
101,DAMOH,Madhya Pradesh,AHIR KAMLA YADAV,F,GEN,55,SP,7826,3,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
102,DAMOH,Madhya Pradesh,JAYANT BHAIYA,M,GEN,31,IND,7005,4,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
103,DAMOH,Madhya Pradesh,RAMPHOOL DAHAYAT,M,SC,39,IND,6760,5,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
104,DAMOH,Madhya Pradesh,KASHIRAM ALIAS KAMLESH DHURVE,M,ST,35,GMS,5994,6,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
105,DAMOH,Madhya Pradesh,JANKI PRASAD,M,GEN,62,IND,4815,7,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
106,DAMOH,Madhya Pradesh,NANNE LAL,M,GEN,52,IND,3892,8,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
107,DAMOH,Madhya Pradesh,SHIV RAJ ALIAS BADE BHAIYA,M,ST,47,IND,3870,9,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
108,DAMOH,Madhya Pradesh,SHIVRAJ BHAIYA BADE THAKUR,M,GEN,25,IND,3666,10,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
109,DAMOH,Madhya Pradesh,CHANDRABHAN BHAIYA PARSORIA NAHAR,M,GEN,37,IND,2995,11,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
